term,category,shape,n_words,family,operator,variant,outcome,exact,output,mozhi_edits
IP address,networking,phrase,2,synthetic,vowel_swap,ip uddress,missed,no,please check the ip uddress now,
IP address,networking,phrase,2,synthetic,consonant_swap,ip addless,recovered,yes,please check the IP address now,ip addless -> IP address
IP address,networking,phrase,2,synthetic,double_consonant,ip addres,recovered,yes,please check the IP address now,ip addres -> IP address
IP address,networking,phrase,2,synthetic,split_word,ip addr ess,recovered,yes,please check the IP address now,ip addr ess -> IP address
IP address,networking,phrase,2,synthetic,merge_words,ipaddress,missed,no,please check the ipaddress now,
IP address,networking,phrase,2,synthetic,swap_words,address ip,recovered,yes,please check the IP address now,address ip -> IP address
IP address,networking,phrase,2,synthetic,vowel_swap,ip eddress,recovered,yes,please check the IP address now,ip eddress -> IP address
IP address,networking,phrase,2,synthetic,consonant_swap,ip addrezs,recovered,yes,please check the IP address now,ip addrezs -> IP address
IP address,networking,phrase,2,synthetic,double_consonant,ip adress,recovered,yes,please check the IP address now,ip adress -> IP address
IP address,networking,phrase,2,synthetic,split_word,ip add ress,missed,no,please check the ip add ress now,
firewall,networking,single_word,1,canonical,canonical,firewall,recovered,yes,please check the firewall now,
firewall,networking,single_word,1,synthetic,vowel_swap,furewall,recovered,yes,please check the firewall now,furewall -> firewall
firewall,networking,single_word,1,synthetic,consonant_swap,filewall,recovered,yes,please check the firewall now,filewall -> firewall
firewall,networking,single_word,1,synthetic,double_consonant,firewwall,recovered,yes,please check the firewall now,firewwall -> firewall
firewall,networking,single_word,1,synthetic,drop_last,firewal,recovered,yes,please check the firewall now,firewal -> firewall
firewall,networking,single_word,1,synthetic,respell,fyrewall,recovered,yes,please check the firewall now,fyrewall -> firewall
firewall,networking,single_word,1,synthetic,split_word,fire wall,recovered,yes,please check the firewall now,fire wall -> firewall
firewall,networking,single_word,1,synthetic,vowel_swap,firawall,recovered,yes,please check the firewall now,firawall -> firewall
firewall,networking,single_word,1,synthetic,consonant_swap,virewall,recovered,yes,please check the firewall now,virewall -> firewall
firewall,networking,single_word,1,synthetic,double_consonant,firrewall,recovered,yes,please check the firewall now,firrewall -> firewall
firewall,networking,single_word,1,synthetic,split_word,firew all,recovered,yes,please check the firewall now,firew all -> firewall
router,networking,single_word,1,canonical,canonical,router,recovered,yes,please check the router now,
router,networking,single_word,1,synthetic,vowel_swap,riuter,recovered,yes,please check the router now,riuter -> router
router,networking,single_word,1,synthetic,consonant_swap,louter,missed,no,please check the louter now,
router,networking,single_word,1,synthetic,double_consonant,routter,recovered,yes,please check the router now,routter -> router
router,networking,single_word,1,synthetic,drop_last,route,recovered,yes,please check the router now,route -> router
router,networking,single_word,1,synthetic,respell,rowter,recovered,yes,please check the router now,rowter -> router
router,networking,single_word,1,synthetic,vowel_swap,rauter,recovered,yes,please check the router now,rauter -> router
router,networking,single_word,1,synthetic,consonant_swap,rouder,recovered,yes,please check the router now,rouder -> router
router,networking,single_word,1,synthetic,vowel_swap,routir,recovered,yes,please check the router now,routir -> router
router,networking,single_word,1,synthetic,consonant_swap,routel,missed,no,please check the routel now,
router,networking,single_word,1,synthetic,vowel_swap,roater,recovered,yes,please check the router now,roater -> router
subnet,networking,single_word,1,canonical,canonical,subnet,recovered,yes,please check the subnet now,
subnet,networking,single_word,1,synthetic,vowel_swap,subnot,recovered,yes,please check the subnet now,subnot -> subnet
subnet,networking,single_word,1,synthetic,consonant_swap,supnet,missed,no,please check the supnet now,
subnet,networking,single_word,1,synthetic,double_consonant,subbnet,recovered,yes,please check the subnet now,subbnet -> subnet
subnet,networking,single_word,1,synthetic,drop_last,subne,recovered,yes,please check the subnet now,subne -> subnet
subnet,networking,single_word,1,synthetic,vowel_swap,subnit,recovered,yes,please check the subnet now,subnit -> subnet
subnet,networking,single_word,1,synthetic,consonant_swap,submet,missed,no,please check the submet now,
subnet,networking,single_word,1,synthetic,double_consonant,subnnet,recovered,yes,please check the subnet now,subnnet -> subnet
subnet,networking,single_word,1,synthetic,vowel_swap,sibnet,recovered,yes,please check the subnet now,sibnet -> subnet
subnet,networking,single_word,1,synthetic,consonant_swap,subned,recovered,yes,please check the subnet now,subned -> subnet
subnet,networking,single_word,1,synthetic,vowel_swap,sabnet,recovered,yes,please check the subnet now,sabnet -> subnet
gateway,networking,single_word,1,canonical,canonical,gateway,recovered,yes,please check the gateway now,
gateway,networking,single_word,1,synthetic,vowel_swap,gataway,recovered,yes,please check the gateway now,gataway -> gateway
gateway,networking,single_word,1,synthetic,consonant_swap,kateway,recovered,yes,please check the gateway now,kateway -> gateway
gateway,networking,single_word,1,synthetic,double_consonant,gatteway,recovered,yes,please check the gateway now,gatteway -> gateway
gateway,networking,single_word,1,synthetic,drop_last,gatewa,recovered,yes,please check the gateway now,gatewa -> gateway
gateway,networking,single_word,1,synthetic,respell,gatewai,recovered,yes,please check the gateway now,gatewai -> gateway
gateway,networking,single_word,1,synthetic,split_word,gate way,recovered,yes,please check the gateway now,gate way -> gateway
gateway,networking,single_word,1,synthetic,vowel_swap,gatewoy,recovered,yes,please check the gateway now,gatewoy -> gateway
gateway,networking,single_word,1,synthetic,consonant_swap,gadeway,recovered,yes,please check the gateway now,gadeway -> gateway
gateway,networking,single_word,1,synthetic,double_consonant,gatewway,recovered,yes,please check the gateway now,gatewway -> gateway
gateway,networking,single_word,1,synthetic,split_word,gat eway,recovered,yes,please check the gateway now,gat eway -> gateway
latency,networking,single_word,1,canonical,canonical,latency,recovered,yes,please check the latency now,
latency,networking,single_word,1,synthetic,vowel_swap,litency,recovered,yes,please check the latency now,litency -> latency
latency,networking,single_word,1,synthetic,consonant_swap,ratency,missed,no,please check the ratency now,
latency,networking,single_word,1,synthetic,double_consonant,lattency,recovered,yes,please check the latency now,lattency -> latency
latency,networking,single_word,1,synthetic,drop_last,latenc,recovered,yes,please check the latency now,latenc -> latency
latency,networking,single_word,1,synthetic,respell,latenci,recovered,yes,please check the latency now,latenci -> latency
latency,networking,single_word,1,synthetic,split_word,lat ency,recovered,yes,please check the latency now,lat ency -> latency
latency,networking,single_word,1,synthetic,vowel_swap,latancy,recovered,yes,please check the latency now,latancy -> latency
latency,networking,single_word,1,synthetic,consonant_swap,latemcy,recovered,yes,please check the latency now,latemcy -> latency
latency,networking,single_word,1,synthetic,double_consonant,latenncy,recovered,yes,please check the latency now,latenncy -> latency
latency,networking,single_word,1,synthetic,split_word,late ncy,recovered,yes,please check the latency now,late ncy -> latency
bandwidth,networking,single_word,1,canonical,canonical,bandwidth,recovered,yes,please check the bandwidth now,
bandwidth,networking,single_word,1,synthetic,vowel_swap,bendwidth,recovered,yes,please check the bandwidth now,bendwidth -> bandwidth
bandwidth,networking,single_word,1,synthetic,consonant_swap,pandwidth,recovered,yes,please check the bandwidth now,pandwidth -> bandwidth
bandwidth,networking,single_word,1,synthetic,double_consonant,bandwiddth,recovered,yes,please check the bandwidth now,bandwiddth -> bandwidth
bandwidth,networking,single_word,1,synthetic,drop_last,bandwidt,recovered,yes,please check the bandwidth now,bandwidt -> bandwidth
bandwidth,networking,single_word,1,synthetic,respell,bandwydth,recovered,yes,please check the bandwidth now,bandwydth -> bandwidth
bandwidth,networking,single_word,1,synthetic,split_word,band width,recovered,yes,please check the bandwidth now,band width -> bandwidth
bandwidth,networking,single_word,1,synthetic,vowel_swap,bindwidth,recovered,yes,please check the bandwidth now,bindwidth -> bandwidth
bandwidth,networking,single_word,1,synthetic,consonant_swap,bandwiddh,recovered,yes,please check the bandwidth now,bandwiddh -> bandwidth
bandwidth,networking,single_word,1,synthetic,double_consonant,banndwidth,recovered,yes,please check the bandwidth now,banndwidth -> bandwidth
bandwidth,networking,single_word,1,synthetic,split_word,ban dwidth,recovered,yes,please check the bandwidth now,ban dwidth -> bandwidth
SSH,networking,acronym,1,canonical,canonical,SSH,recovered,yes,please check the SSH now,
SSH,networking,acronym,1,acronym_map,acronym_map,ess ess aitch,recovered,yes,please check the SSH now,ess ess aitch -> SSH
SSH,networking,acronym,1,spelled,spelled_alt,es es aich,recovered,yes,please check the SSH now,es es aich -> SSH
TCP,networking,acronym,1,canonical,canonical,TCP,recovered,yes,please check the TCP now,
TCP,networking,acronym,1,acronym_map,acronym_map,tee see pea,recovered,yes,please check the TCP now,tee see pea -> TCP
TCP,networking,acronym,1,spelled,spelled,tea see pea,missed,no,please check the tea see pea now,
TCP,networking,acronym,1,spelled,spelled_alt,tee sea pe,missed,no,please check the tee sea pe now,
UDP,networking,acronym,1,canonical,canonical,UDP,recovered,yes,please check the UDP now,
UDP,networking,acronym,1,acronym_map,acronym_map,you dee pea,recovered,yes,please check the UDP now,you dee pea -> UDP
UDP,networking,acronym,1,spelled,spelled_alt,u di pe,recovered,yes,please check the UDP now,u di pe -> UDP
SSL,security,acronym,1,canonical,canonical,SSL,recovered,yes,please check the SSL now,
SSL,security,acronym,1,acronym_map,acronym_map,ess ess ell,recovered,yes,please check the SSL now,ess ess ell -> SSL
SSL,security,acronym,1,spelled,spelled,ess ess el,recovered,yes,please check the SSL now,ess ess el -> SSL
SSL,security,acronym,1,spelled,spelled_alt,es es ell,recovered,yes,please check the SSL now,es es ell -> SSL
TLS,security,acronym,1,canonical,canonical,TLS,recovered,yes,please check the TLS now,
TLS,security,acronym,1,acronym_map,acronym_map,tee ell ess,recovered,yes,please check the TLS now,tee ell ess -> TLS
TLS,security,acronym,1,spelled,spelled,tea el ess,recovered,yes,please check the TLS now,tea el ess -> TLS
TLS,security,acronym,1,spelled,spelled_alt,te ell es,recovered,yes,please check the TLS now,te ell es -> TLS
OAuth,security,single_word,1,canonical,canonical,OAuth,recovered,yes,please check the OAuth now,
OAuth,security,single_word,1,acronym_map,acronym_map,oh auth,recovered,yes,please check the OAuth now,oh auth -> OAuth
OAuth,security,single_word,1,acronym_map,acronym_map,oh authe,recovered,yes,please check the OAuth now,oh authe -> OAuth
OAuth,security,single_word,1,synthetic,vowel_swap,aauth,missed,no,please check the aauth now,
OAuth,security,single_word,1,synthetic,consonant_swap,oaudh,missed,no,please check the oaudh now,
OAuth,security,single_word,1,synthetic,double_consonant,oautth,recovered,yes,please check the OAuth now,oautth -> OAuth
OAuth,security,single_word,1,synthetic,drop_last,oaut,missed,no,please check the oaut now,
OAuth,security,single_word,1,synthetic,vowel_swap,oeuth,recovered,yes,please check the OAuth now,oeuth -> OAuth
OAuth,security,single_word,1,synthetic,vowel_swap,iauth,missed,no,please check the iauth now,
OAuth,security,single_word,1,synthetic,vowel_swap,oouth,missed,no,please check the oouth now,
OAuth,security,single_word,1,synthetic,vowel_swap,oiuth,recovered,yes,please check the OAuth now,oiuth -> OAuth
OAuth,security,single_word,1,synthetic,vowel_swap,ouuth,recovered,yes,please check the OAuth now,ouuth -> OAuth
OAuth,security,single_word,1,synthetic,vowel_swap,uauth,missed,no,please check the uauth now,
two-factor authentication,security,phrase,3,canonical,canonical,two-factor authentication,recovered,yes,please check the two-factor authentication now,
two-factor authentication,security,phrase,3,synthetic,vowel_swap,two factor uuthentication,recovered,no,please check the two factor authentication now,uuthentication -> authentication
two-factor authentication,security,phrase,3,synthetic,consonant_swap,two factor authenticatiom,garbled,no,please check the two factor authentication,authenticatiom now -> authentication
two-factor authentication,security,phrase,3,synthetic,double_consonant,two factor authenticattion,recovered,no,please check the two factor authentication now,authenticattion -> authentication
two-factor authentication,security,phrase,3,synthetic,drop_last,two factor authenticatio,garbled,no,please check the two factor authentication,authenticatio now -> authentication
two-factor authentication,security,phrase,3,synthetic,respell,two factor authentycation,recovered,no,please check the two factor authentication now,authentycation -> authentication
two-factor authentication,security,phrase,3,synthetic,split_word,two factor authenti cation,recovered,no,please check the two factor authentication now,authenti cation -> authentication
two-factor authentication,security,phrase,3,synthetic,merge_words,twofactor authentication,missed,no,please check the twofactor authentication now,
two-factor authentication,security,phrase,3,synthetic,swap_words,factor two authentication,missed,no,please check the factor two authentication now,
two-factor authentication,security,phrase,3,synthetic,vowel_swap,two factor aathentication,recovered,no,please check the two factor authentication now,aathentication -> authentication
two-factor authentication,security,phrase,3,synthetic,consonant_swap,two factor authentikation,recovered,no,please check the two factor authentication now,authentikation -> authentication
malware,security,single_word,1,canonical,canonical,malware,recovered,yes,please check the malware now,
malware,security,single_word,1,synthetic,vowel_swap,molware,recovered,yes,please check the malware now,molware -> malware
malware,security,single_word,1,synthetic,consonant_swap,nalware,missed,no,please check the nalware now,
malware,security,single_word,1,synthetic,double_consonant,malwarre,recovered,yes,please check the malware now,malwarre -> malware
malware,security,single_word,1,synthetic,drop_last,malwar,recovered,yes,please check the malware now,malwar -> malware
malware,security,single_word,1,synthetic,split_word,malw are,recovered,yes,please check the malware now,malw are -> malware
malware,security,single_word,1,synthetic,vowel_swap,malwaru,recovered,yes,please check the malware now,malwaru -> malware
malware,security,single_word,1,synthetic,consonant_swap,malwale,recovered,yes,please check the malware now,malwale -> malware
malware,security,single_word,1,synthetic,double_consonant,mallware,recovered,yes,please check the malware now,mallware -> malware
malware,security,single_word,1,synthetic,split_word,mal ware,recovered,yes,please check the malware now,mal ware -> malware
malware,security,single_word,1,synthetic,vowel_swap,malwure,recovered,yes,please check the malware now,malwure -> malware
phishing,security,single_word,1,canonical,canonical,phishing,recovered,yes,please check the phishing now,
phishing,security,single_word,1,synthetic,vowel_swap,phishung,recovered,yes,please check the phishing now,phishung -> phishing
phishing,security,single_word,1,synthetic,consonant_swap,phizhing,missed,no,please check the phizhing now,
phishing,security,single_word,1,synthetic,double_consonant,phishinng,recovered,yes,please check the phishing now,phishinng -> phishing
phishing,security,single_word,1,synthetic,drop_last,phishin,recovered,yes,please check the phishing now,phishin -> phishing
phishing,security,single_word,1,synthetic,respell,physhing,recovered,yes,please check the phishing now,physhing -> phishing
phishing,security,single_word,1,synthetic,split_word,phi shing,recovered,yes,please check the phishing now,phi shing -> phishing
phishing,security,single_word,1,synthetic,vowel_swap,phishang,recovered,yes,please check the phishing now,phishang -> phishing
phishing,security,single_word,1,synthetic,consonant_swap,phishink,recovered,yes,please check the phishing now,phishink -> phishing
phishing,security,single_word,1,synthetic,double_consonant,phishhing,recovered,yes,please check the phishing now,phishhing -> phishing
phishing,security,single_word,1,synthetic,respell,phishyng,recovered,yes,please check the phishing now,phishyng -> phishing
encryption,security,single_word,1,canonical,canonical,encryption,recovered,yes,please check the encryption now,
encryption,security,single_word,1,synthetic,vowel_swap,encryptiin,recovered,yes,please check the encryption now,encryptiin -> encryption
encryption,security,single_word,1,synthetic,consonant_swap,enclyption,recovered,yes,please check the encryption now,enclyption -> encryption
encryption,security,single_word,1,synthetic,double_consonant,encrypttion,recovered,yes,please check the encryption now,encrypttion -> encryption
encryption,security,single_word,1,synthetic,drop_last,encryptio,recovered,yes,please check the encryption now,encryptio -> encryption
encryption,security,single_word,1,synthetic,respell,encription,recovered,yes,please check the encryption now,encription -> encryption
encryption,security,single_word,1,synthetic,split_word,encryp tion,recovered,yes,please check the encryption now,encryp tion -> encryption
encryption,security,single_word,1,synthetic,vowel_swap,uncryption,recovered,yes,please check the encryption now,uncryption -> encryption
encryption,security,single_word,1,synthetic,consonant_swap,emcryption,recovered,yes,please check the encryption now,emcryption -> encryption
encryption,security,single_word,1,synthetic,double_consonant,enccryption,recovered,yes,please check the encryption now,enccryption -> encryption
encryption,security,single_word,1,synthetic,respell,encryptyon,recovered,yes,please check the encryption now,encryptyon -> encryption
cache,software,single_word,1,canonical,canonical,cache,recovered,yes,please check the cache now,
